doc_number,document_id,title,authors,organization,venue,year,document_type,pdf_path,doi_or_url,pdf_url,source_api,external_id,total_pages,topics,countries,regions,sectors,climate_risks,technologies,policies,targets,indicators,abstract
D256,qu_r_2016_global_carbon_budget_2016_w2916961622,Global Carbon Budget 2016,Corinne Le Quéré; Robbie M. Andrew; Josep G. Canadell; Stephen Sitch; Jan Ivar Korsbakken; Glen P. Peters; Andrew C. Manning; Thomas A. Boden; Pieter P. Tans; R. A. Houghton; Ralph F. Keeling; Simone R. Alin; Oliver Andrews; Peter Anthoni; Leticia Barbero; Laurent Bopp; Frédéric Chevallier; Louise Chini; Philippe Ciais; Kim Currie; Christine Delire; Scott C. Doney; Pierre Friedlingstein; Thanos Gkritzalis; Ian Harris; Judith Hauck; Vanessa Haverd; Mario Hoppema; Kees Klein Goldewijk; Atul K. Jain; Etsushi Kato; Arne Körtzinger; Peter Landschützer; Nathalie Lefèvre; Andrew Lenton; Sebastian Lienert; Danica Lombardozzi; Joe R. Melton; Nicolas Metzl; Frank J. Millero; Pedro M. S. Monteiro; David R. Munro; Julia E. M. S. Nabel; Shin‐Ichiro Nakaoka; Kevin O’Brien; Are Olsen; Abdirahman M Omar; Tsuneo Ono; Denis Pierrot; Benjamin Poulter; Christian Rödenbeck; Joe Salisbury; Ute Schuster; Jörg Schwinger; Roland Séférian; Ingunn Skjelvan; Benjamin D. Stocker; Adrienne J. Sutton; Taro Takahashi; Hanqin Tian; Bronte Tilbrook; Ingrid T. Luijkx; Guido R. van der Werf; Nicolas Viovy; Anthony P. Walker; A. Wiltshire; Sönke Zaehle,Earth system science data,Earth system science data,2016,Journal Article,data/pdfs/qu_r_2016_global_carbon_budget_2016_w2916961622.pdf,https://doi.org/10.5194/essd-8-605-2016,https://www.earth-syst-sci-data.net/8/605/2016/essd-8-605-2016.pdf,OpenAlex,W2916961622,45,,Germany; Global; United States,Africa; Europe; Global,energy; water,emissions,machine learning,Nationally Determined Contributions,,,
D257,zhang_2012_oyster_genome_reveals_stress_adaptation_complexity_shell_formation_w2026345779,The oyster genome reveals stress adaptation and complexity of shell formation,Guofan Zhang; Xiaodong Fang; Ximing Guo; Li Li; Ruibang Luo; Fei Xu; Pengcheng Yang; Linlin Zhang; Xiaotong Wang; Haigang Qi; Zhiqiang Xiong; Huayong Que; Yinlong Xie; Peter W. H. Holland; Jordi Paps; Yabing Zhu; Fucun Wu; Yuanxin Chen; Jiafeng Wang; Chunfang Peng; Jie Meng; Lan Yang; Jun Liu; Bo Wen; Na Zhang; Zhiyong Huang; Qihui Zhu; Yue Feng; Andrew S. Mount; Dennis Hedgecock; Zhe Xu; Yunjie Liu; Tomislav Domazet‐Lošo; Yishuai Du; Xiaoqing Sun; Shoudu Zhang; Binghang Liu; Peizhou Cheng; Xuanting Jiang; Juan Li; Dingding Fan; Wei Wang; Wenjing Fu; Tong Wang; Bo Wang; Jibiao Zhang; Zhiyu Peng; Yingxiang Li; Na Li; Jinpeng Wang; Maoshan Chen; Yan He; Fengji Tan; Xiaorui Song; Qiumei Zheng; Ronglian Huang; Hailong Yang; Xuedi Du; Li Chen; Mei Yang; Patrick M. Gaffney; Shan Wang; Longhai Luo; Zhicai She; Yao Ming; Wen Huang; Shu Zhang; Baoyu Huang; Yong Zhang; Tao Qu; Peixiang Ni; Guoying Miao; Junyi Wang; Qiang Wang; Christian E. W. Steinberg; Haiyan Wang; Ning Li; Lumin Qian; Guojie Zhang; Yingrui Li; Huanming Yang; Xiao Liu; Jian Wang; Ye Yin; Jun Wang,Nature,Nature,2012,Journal Article,data/pdfs/zhang_2012_oyster_genome_reveals_stress_adaptation_complexity_shell_formation_w2026345779.pdf,https://doi.org/10.1038/nature11413,https://www.nature.com/articles/nature11413.pdf,OpenAlex,W2026345779,6,adaptation; climate science; policy and governance,China; Germany; United States,Europe,water,,forecasting; machine learning,Nationally Determined Contributions,,,
D258,hugelius_2014_estimated_stocks_circumpolar_permafrost_carbon_quantified_uncertainty_ranges_w2098627306,Estimated stocks of circumpolar permafrost carbon with quantified uncertainty ranges and identified data gaps,Gustaf Hugelius; Jens Strauß; Sebastian Zubrzycki; J. W. Harden; Edward A. G. Schuur; Chien‐Lu Ping; Lutz Schirrmeister; Guido Grosse; G. J. Michaelson; Charles D. Koven; Jonathan A. O’Donnell; Bo Elberling; Umakant Mishra; Philip Camill; Zicheng Yu; Juri Palmtag; Peter Kuhry,Biogeosciences,Biogeosciences,2014,Journal Article,data/pdfs/hugelius_2014_estimated_stocks_circumpolar_permafrost_carbon_quantified_uncertainty_ranges_w2098627306.pdf,https://doi.org/10.5194/bg-11-6573-2014,https://bg.copernicus.org/articles/11/6573/2014/bg-11-6573-2014.pdf,OpenAlex,W2098627306,21,climate science; renewable energy; sustainability,Germany; Global; Oman; Saudi Arabia; United States,Europe; Global,transport,,machine learning,,,temperature rise,
D259,pendleton_2012_estimating_global_blue_carbon_emissions_conversion_degradation_vegetated_w2147924102,Estimating Global “Blue Carbon” Emissions from Conversion and Degradation of Vegetated Coastal Ecosystems,Linwood H. Pendleton; Daniel C. Donato; Brian C. Murray; Stephen Crooks; W. Aaron Jenkins; Samantha Sifleet; Christopher Craft; James W. Fourqurean; J. Boone Kauffman; Núria Marbà; J. Patrick Megonigal; Emily Pidgeon; Dorothée Herr; David R. Gordon; Alexis Baldera,PLoS ONE,PLoS ONE,2012,Journal Article,data/pdfs/pendleton_2012_estimating_global_blue_carbon_emissions_conversion_degradation_vegetated_w2147924102.pdf,https://doi.org/10.1371/journal.pone.0043542,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0043542&type=printable,OpenAlex,W2147924102,7,climate science; mitigation; policy and governance,Global; India; United States,Europe; Global,agriculture; industry; water,drought; emissions,machine learning,Nationally Determined Contributions,,sea level,
D260,fritz_2019_citizen_science_united_nations_sustainable_development_goals_w2979527643,Citizen science and the United Nations Sustainable Development Goals,Steffen Fritz; Linda See; Tyler Carlson; Muki Haklay; Jessica L. Oliver; Dilek Fraisl; Rosy Mondardini; Martin Brocklehurst; Lea Shanley; Sven Schade; Uta Wehn; Tommaso Abrate; Janet Anstee; Stephan Arnold; Matthew Billot; Jillian Campbell; Jessica Espey; Margaret M. Gold; Gerid Hager; Shan He; Libby Hepburn; Angel Hsu; Deborah Long; Joan Masó; Ian McCallum; Maina Muniafu; Inian Moorthy; Michael Obersteiner; A. Parker; Maike Weißpflug; Sarah West,Nature Sustainability,Nature Sustainability,2019,Journal Article,data/pdfs/fritz_2019_citizen_science_united_nations_sustainable_development_goals_w2979527643.pdf,https://doi.org/10.1038/s41893-019-0390-3,https://eprints.soton.ac.uk/496542/1/d41586-024-03906-0.pdf,OpenAlex,W2979527643,5,climate AI; policy and governance; sustainability,China; India,,agriculture; health,,,,,,
D261,loonen_2013_climate_adaptive_building_shells_state_art_future_challenges_w2118568687,Climate adaptive building shells: State-of-the-art and future challenges,Roel Loonen; M Marija Trcka; D Daniel Cóstola; Jlm Jan Hensen,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,2013,Journal Article,data/pdfs/loonen_2013_climate_adaptive_building_shells_state_art_future_challenges_w2118568687.pdf,https://doi.org/10.1016/j.rser.2013.04.016,https://pure.tue.nl/ws/files/3553971/446987338266471.pdf,OpenAlex,W2118568687,35,policy and governance; sustainability,,,buildings; energy,,,,,,
D262,pascual_2023_diverse_values_nature_sustainability_w4385691013,Diverse values of nature for sustainability,Unai Pascual; Patricia Balvanera; Christopher B. Anderson; Rebecca Chaplin‐Kramer; Mike Christie; David González-Jiménez; Adrián Martín; Christopher M. Raymond; Mette Termansen; Arild Vatn; Simone Athayde; Brigitte Baptiste; David N. Barton; Sander Jacobs; Eszter Kelemen; Ritesh Kumar; Elena Lazos; Tuyeni H. Mwampamba; Barbara Nakangu; Patrick O’Farrell; Suneetha M. Subramanian; Meine van Noordwijk; SoEun Ahn; Sacha Amaruzaman; Ariane Amin; Paola Arias‐Arévalo; Gabriela Arroyo-Robles; Mariana Cantú-Fernández; Antonio Arjona Castro; Victoria Contreras; Alta De Vos; Nicolas Dendoncker; Stefanie Engel; Uta Eser; Daniel P. Faith; Anna Filyushkina; Houda Ghazi; Erik Gómez‐Baggethun; Rachelle K. Gould; Louise Guibrunet; Haripriya Gundimeda; Thomas P. Hahn; Zuzana V. Harmáčková; Marcello Hernández‐Blanco; Andra‐Ioana Horcea‐Milcu; Mariaelena Huambachano; Natalia Lutti Hummel Wicher; Cem İskender Aydın; Mine Işlar; Ann‐Kathrin Koessler; Jasper O. Kenter; Marina Kosmus; Heera Lee; Beria Leimona; Sharachchandra Lélé; Dominic Lenzi; Bosco Lliso; Lelani Mannetti; Juliana Merçon; Ana Sofía Monroy‐Sais; Nibedita Mukherjee; Barbara Muraca; Roldán Muradian; Ranjini Murali; Sara Nelson; Gabriel R. Nemogá; Jonas Ngouhouo Poufoun; Aidin Niamir; Emmanuel Nuesiri; Tobias Ochieng Nyumba; Begüm Özkaynak; Ignacio Palomo; Ram Pandit; Agnieszka Pawłowska-Mainville; Luciana Porter‐Bolland; Martin F. Quaas; Julian Rode; Ricardo Rozzi; Sonya Sachdeva; Aibek Samakov; Marije Schaafsma; Nadia Sitas; Paula Ungar; Evonne Yiu; Yuki Yoshida; Eglée L. Zent,Nature,Nature,2023,Journal Article,data/pdfs/pascual_2023_diverse_values_nature_sustainability_w4385691013.pdf,https://doi.org/10.1038/s41586-023-06406-9,https://www.nature.com/articles/s41586-023-06406-9.pdf,OpenAlex,W4385691013,19,policy and governance; sustainability,Global; India,Africa; Asia; Europe; Global; Global South,energy; health; industry; infrastructure; water,,,,,,
D263,rockstr_m_2017_roadmap_rapid_decarbonization_w2597494773,A roadmap for rapid decarbonization,Johan Rockström; Owen Gaffney; Joeri Rogelj; Malte Meinshausen; Nebojša Nakićenović; Hans Joachim Schellnhuber,Science,Science,2017,Journal Article,data/pdfs/rockstr_m_2017_roadmap_rapid_decarbonization_w2597494773.pdf,https://doi.org/10.1126/science.aah3443,http://pure.iiasa.ac.at/id/eprint/14498/1/Rockstr%C3%B6mEtAl_2017_Science_A%20roadmap%20for%20rapid%20decarbonization.pdf,OpenAlex,W2597494773,5,adaptation; carbon capture; climate finance; climate science; energy transition; mitigation; policy and governance; renewable energy,China; Germany; Global; India,Africa; Europe; Global,agriculture; buildings; energy; finance; industry; infrastructure; transport,emissions,,Paris Agreement,Limit Warming to 1.5C; Reduce Emissions,CO2 emissions; climate finance; temperature rise,
D264,hahn_2014_tensions_corporate_sustainability_integrative_framework_w1988805390,Tensions in Corporate Sustainability: Towards an Integrative Framework,Tobias Hahn; Jonatan Pinkse; Lutz Preuss; Frank Figge,Journal of Business Ethics,Journal of Business Ethics,2014,Journal Article,data/pdfs/hahn_2014_tensions_corporate_sustainability_integrative_framework_w1988805390.pdf,https://doi.org/10.1007/s10551-014-2047-5,https://ueaeprints.uea.ac.uk/id/eprint/63990/1/JBE_2015_Framework_Tensions_Final.pdf,OpenAlex,W1988805390,51,sustainability,,Europe,,,,,,,
D265,martin_2011_hadgem2_family_met_office_unified_climate_configurations_w2140155467,The HadGEM2 family of Met Office Unified Model climate configurations,The HadGEM2 Development Team: G. M. Martin; Nicolas Bellouin; W. J. Collins; I. D. Culverwell; Paul R. Halloran; Steven C. Hardiman; T. Hinton; Chris Jones; Ruth E. McDonald; A. J. McLaren; Fiona M. O’Connor; Malcolm Roberts; José M. Rodríguez; S. Woodward; Martin Best; M. E. Brooks; Andy Brown; Neal Butchart; C. Dearden; S. H. Derbyshire; Imtiaz Dharssi; Marie Doutriaux‐Boucher; John Edwards; Pete Falloon; Nicola Gedney; Lesley J. Gray; Helene T. Hewitt; M. Hobson; M. R. Huddleston; John P. Hughes; Sarah Ineson; William Ingram; P. James; T. C. Johns; Chris E. Johnson; Andy Jones; C. P. Jones; Manoj Joshi; Ann Keen; Spencer Liddicoat; Adrian Lock; Anna Maidens; James Manners; Sean Milton; Jamie Rae; Jeff Ridley; Alistair Sellar; C. A. Senior; I. J. Totterdell; Anne Verhoef; Pier Luigi Vidale; A. Wiltshire,Geoscientific model development,Geoscientific model development,2011,Journal Article,data/pdfs/martin_2011_hadgem2_family_met_office_unified_climate_configurations_w2140155467.pdf,https://doi.org/10.5194/gmd-4-723-2011,https://gmd.copernicus.org/articles/4/723/2011/gmd-4-723-2011.pdf,OpenAlex,W2140155467,35,climate science; renewable energy,Germany; Global; Saudi Arabia,Europe; Global,,,,Nationally Determined Contributions,,,
D266,barreto_2002_hydrogen_economy_21st_century_sustainable_development_scenario_w2093779538,The hydrogen economy in the 21st century: a sustainable development scenario,Leonardo Barreto; Atsutoshi Makihira; Keywan Riahi,International Journal of Hydrogen Energy,International Journal of Hydrogen Energy,2002,Journal Article,data/pdfs/barreto_2002_hydrogen_economy_21st_century_sustainable_development_scenario_w2093779538.pdf,https://doi.org/10.1016/s0360-3199(02)00074-5,http://pure.iiasa.ac.at/id/eprint/7086/1/RR-03-001.pdf,OpenAlex,W2093779538,20,sustainability,Global,Global,energy,,green hydrogen,,,,
D267,malik_2018_land_use_driven_change_soil_ph_affects_microbial_w2889480988,Land use driven change in soil pH affects microbial carbon cycling processes,Ashish A. Malik; Jérémy Puissant; Kate M. Buckeridge; Tim Goodall; Nico Jehmlich; Somak Chowdhury; Hyun S. Gweon; Jodey Peyton; Kelly E. Mason; Maaike van Agtmaal; Aimeric Blaud; Ian M. Clark; Jeanette Whitaker; Richard F. Pywell; Nick Ostle; Gerd Gleixner; Robert I. Griffiths,Nature Communications,Nature Communications,2018,Journal Article,data/pdfs/malik_2018_land_use_driven_change_soil_ph_affects_microbial_w2889480988.pdf,https://doi.org/10.1038/s41467-018-05980-1,https://www.nature.com/articles/s41467-018-05980-1.pdf,OpenAlex,W2889480988,10,adaptation; carbon capture; climate finance,Germany; United States,Europe,agriculture; energy; finance; water,,carbon capture; forecasting; machine learning,Nationally Determined Contributions,,climate finance,
D268,hassan_2008_determinants_african_farmers_strategies_adapting_climate_change_multinomial_w1584880771,Determinants of African farmers’ strategies for adapting to climate change: Multinomial choice analysis,"Rashid Hassan; Charles Nhemachena; Hassan, Rashid M.; Nhemachena, Charles","AgEcon Search (University of Minnesota, USA)","AgEcon Search (University of Minnesota, USA)",2008,Journal Article,data/pdfs/hassan_2008_determinants_african_farmers_strategies_adapting_climate_change_multinomial_w1584880771.pdf,https://doi.org/10.22004/ag.econ.56969,https://ageconsearch.umn.edu/record/56969/files/0201%20Nhemachena%20_%20Hassan%20-%2026%20may.pdf,OpenAlex,W1584880771,23,adaptation; climate finance; climate science; policy and governance; sustainability,United States,Africa; Europe,agriculture; finance,,,,,climate finance; temperature rise,
D269,forster_2020_current_future_global_climate_impacts_resulting_covid_19_w3048190739,Current and future global climate impacts resulting from COVID-19,Piers Forster; Harriet I. Forster; M. J. Evans; Matthew Gidden; Chris Jones; Christoph A. Keller; Robin Lamboll; Corinne Le Quéré; Joeri Rogelj; Deborah Rosen; Carl‐Friedrich Schleussner; T. Richardson; Chris Smith; Steven T. Turnock,Nature Climate Change,Nature Climate Change,2020,Journal Article,data/pdfs/forster_2020_current_future_global_climate_impacts_resulting_covid_19_w3048190739.pdf,https://doi.org/10.1038/s41558-020-0883-0,https://www.nature.com/articles/s41558-020-0883-0.pdf,OpenAlex,W3048190739,15,climate finance; climate science; mitigation; policy and governance,China; Germany; Global; India; United States,Asia; Europe; Global,energy; finance; health; industry; transport,emissions,forecasting,,Reduce Emissions,climate finance; temperature rise,
D270,degen_2023_energy_consumption_current_future_production_lithium_ion_post_w4387141402,Energy consumption of current and future production of lithium-ion and post lithium-ion battery cells,Florian Degen; Martin Winter; David Bendig; Jens Tübke,Nature Energy,Nature Energy,2023,Journal Article,data/pdfs/degen_2023_energy_consumption_current_future_production_lithium_ion_post_w4387141402.pdf,https://doi.org/10.1038/s41560-023-01355-z,https://www.nature.com/articles/s41560-023-01355-z.pdf,OpenAlex,W4387141402,15,climate science; policy and governance; sustainability,Germany; Global,Europe; Global,energy; industry; infrastructure; transport,emissions,battery storage; electric vehicles,,,CO2 emissions; temperature rise,
D271,dubey_2016_sustainable_supply_chain_management_framework_further_research_directions_w2336137315,Sustainable supply chain management: framework and further research directions,Rameshwar Dubey; Angappa Gunasekaran; Θάνος Παπαδόπουλος; Stephen J. Childe; K. T. Shibin; Samuel Fosso Wamba,Journal of Cleaner Production,Journal of Cleaner Production,2016,Journal Article,data/pdfs/dubey_2016_sustainable_supply_chain_management_framework_further_research_directions_w2336137315.pdf,https://doi.org/10.1016/j.jclepro.2016.03.117,https://kar.kent.ac.uk/57193/1/1-s2.0-S0959652616301883-mainSustainability%20further%20research.pdf,OpenAlex,W2336137315,51,policy and governance,,,,,,,,,
D272,bunn_2014_bitter_cup_climate_change_profile_global_production_arabica_w2011607584,A bitter cup: climate change profile of global production of Arabica and Robusta coffee,Christian Bunn; Peter Läderach; Oriana Ovalle Rivera; Dieter Kirschke,Climatic Change,Climatic Change,2014,Journal Article,data/pdfs/bunn_2014_bitter_cup_climate_change_profile_global_production_arabica_w2011607584.pdf,https://doi.org/10.1007/s10584-014-1306-x,https://link.springer.com/content/pdf/10.1007/s10584-014-1306-x.pdf,OpenAlex,W2011607584,13,adaptation; climate AI; climate science; mitigation,Germany; Global,Africa; Asia; Europe; Global,agriculture; water,,forecasting; machine learning,,,,
D273,mikhaylov_2020_global_climate_change_greenhouse_effect_w3036045166,Global climate change and greenhouse effect,Alexey Mikhaylov; Nikita Moiseev; Кирилл Андреевич Алешин; Thomas Burkhardt,Journal of Entrepreneurship and Sustainability Issues,Journal of Entrepreneurship and Sustainability Issues,2020,Journal Article,data/pdfs/mikhaylov_2020_global_climate_change_greenhouse_effect_w3036045166.pdf,https://doi.org/10.9770/jesi.2020.7.4(21),https://jssidoi.org/jesi/article/download/560,OpenAlex,W3036045166,17,climate AI; climate science; energy transition; mitigation; policy and governance; sustainability,Germany; Global; United States,Africa; Europe; Global,agriculture; energy; health; industry; water,emissions,machine learning,Paris Agreement,Reduce Emissions,CO2 emissions; temperature rise,
